iter	Passed	Remaining
462	763	885
463	764	883
464	765	880
465	766	878
466	767	875
467	768	873
468	769	871
469	770	868
470	771	866
471	772	864
472	774	863
473	775	860
474	776	858
475	777	856
476	778	853
477	779	851
478	780	849
479	781	847
480	782	844
481	783	842
482	784	840
483	785	837
484	786	835
485	788	834
486	789	832
487	790	829
488	792	827
489	793	825
490	794	823
491	795	821
492	796	819
493	797	816
494	798	814
495	799	812
496	800	810
497	801	807
498	805	808
499	807	807
500	808	805
501	809	803
502	810	801
503	811	798
504	812	796
505	813	794
506	814	792
507	815	790
508	818	789
509	819	787
510	821	785
511	822	783
512	823	782
513	825	780
514	826	778
515	828	776
516	829	774
517	830	772
518	833	772
519	835	771
520	836	769
521	838	767
522	839	765
523	840	763
524	842	761
525	844	760
526	845	758
527	847	757
528	850	756
529	851	755
530	853	753
531	855	752
532	857	751
533	862	752
534	864	751
535	867	750
536	868	749
537	870	747
538	871	745
539	873	744
540	875	742
541	878	742
542	881	741
543	883	740
544	884	738
545	886	736
546	887	734
547	888	732
548	889	730
549	890	728
550	892	727
551	894	725
552	897	725
553	899	723
554	900	722
555	901	720
556	903	718
557	905	717
558	909	717
559	911	716
560	912	714
561	914	712
562	915	710
563	917	709
564	918	707
565	919	705
566	921	703
567	923	702
568	924	700
569	926	698
570	927	697
571	929	695
572	930	693
573	932	691
574	933	689
575	934	688
576	936	686
577	938	684
578	940	683
579	943	682
580	944	681
581	945	679
582	947	677
583	948	675
584	949	673
585	952	672
586	953	670
587	955	669
588	957	667
589	958	666
590	959	664
591	961	662
592	962	660
593	963	658
594	965	657
595	967	655
596	968	654
597	970	652
598	971	650
599	972	648
600	974	646
601	975	644
602	976	642
603	977	641
604	979	639
605	981	637
606	982	636
607	983	634
608	984	632
609	985	630
610	986	628
611	987	626
612	989	624
613	990	622
614	991	620
615	992	618
616	993	616
617	995	615
618	997	613
619	998	611
620	999	610
621	1000	608
622	1002	606
623	1003	604
624	1004	602
625	1005	600
626	1006	598
627	1007	596
628	1009	595
629	1010	593
630	1012	592
631	1014	590
632	1016	589
633	1017	587
634	1019	585
635	1020	584
636	1022	582
637	1023	580
638	1025	579
639	1028	578
640	1029	576
641	1030	574
642	1032	572
643	1033	571
644	1034	569
645	1035	567
646	1037	565
647	1039	564
648	1041	563
649	1043	561
650	1044	560
651	1046	558
652	1047	556
653	1048	554
654	1049	552
655	1050	550
656	1051	549
657	1053	547
658	1055	545
659	1056	544
660	1057	542
661	1058	540
662	1059	538
663	1060	536
664	1061	534
665	1062	532
666	1064	531
667	1065	529
668	1066	527
669	1067	525
670	1069	524
671	1070	522
672	1073	521
673	1074	519
674	1075	517
675	1077	516
676	1079	515
677	1081	513
678	1083	512
679	1085	510
680	1086	509
681	1087	507
682	1089	505
683	1090	503
684	1091	501
685	1092	500
686	1093	498
687	1094	496
688	1095	494
689	1096	492
690	1099	491
691	1100	489
692	1101	488
693	1103	486
694	1104	484
695	1105	482
696	1106	480
697	1107	479
698	1108	477
699	1109	475
700	1110	473
701	1112	472
702	1113	470
703	1115	468
704	1116	467
705	1117	465
706	1119	463
707	1120	462
708	1122	460
709	1123	458
710	1124	456
711	1125	455
712	1126	453
713	1128	451
714	1130	450
715	1131	448
716	1133	447
717	1134	445
718	1135	443
719	1136	442
720	1137	440
721	1139	438
722	1140	436
723	1141	435
724	1143	433
725	1144	432
726	1147	430
727	1148	429
728	1150	427
729	1151	425
730	1152	424
731	1153	422
732	1154	420
733	1155	418
734	1157	417
735	1159	415
736	1160	414
737	1162	412
738	1163	410
739	1164	409
740	1166	407
741	1167	405
742	1169	404
743	1174	403
744	1177	402
745	1179	401
746	1182	400
747	1183	398
748	1184	397
749	1186	395
750	1187	393
751	1189	392
752	1192	391
753	1194	389
754	1195	387
755	1197	386
756	1198	384
757	1200	383
758	1203	382
759	1206	380
760	1209	379
761	1211	378
762	1212	376
763	1214	375
764	1217	374
765	1221	373
766	1222	371
767	1223	369
768	1225	368
769	1226	366
770	1228	364
771	1229	363
772	1230	361
773	1233	360
774	1235	358
775	1236	357
776	1238	355
777	1239	353
778	1240	351
779	1241	350
780	1242	348
781	1243	346
782	1245	345
783	1248	343
784	1250	342
785	1252	340
786	1253	339
787	1255	337
788	1256	336
789	1258	334
790	1261	333
791	1263	331
792	1265	330
793	1266	328
794	1268	327
795	1269	325
796	1271	323
797	1272	322
798	1275	320
799	1278	319
800	1279	317
801	1281	316
802	1282	314
803	1283	312
804	1284	311
805	1285	309
806	1287	307
807	1288	306
808	1290	304
809	1292	303
810	1293	301
811	1295	299
812	1296	298
813	1298	296
814	1299	294
815	1300	293
816	1301	291
817	1302	289
818	1305	288
819	1306	286
820	1307	285
821	1309	283
822	1310	281
823	1311	280
824	1312	278
825	1313	276
826	1314	274
827	1315	273
828	1317	271
829	1319	270
830	1321	268
831	1322	266
832	1323	265
833	1324	263
834	1325	261
835	1327	260
836	1328	258
837	1329	257
838	1331	255
839	1332	253
840	1335	252
841	1336	250
842	1337	249
843	1339	247
844	1340	245
845	1341	244
846	1343	242
847	1344	240
848	1345	239
849	1346	237
850	1348	236
851	1350	234
852	1352	233
853	1353	231
854	1355	229
855	1356	228
856	1357	226
857	1359	224
858	1360	223
859	1361	221
860	1364	220
861	1365	218
862	1366	216
863	1368	215
864	1369	213
865	1371	212
866	1372	210
867	1373	208
868	1374	207
869	1375	205
870	1378	204
871	1379	202
872	1381	200
873	1382	199
874	1383	197
875	1385	196
876	1386	194
877	1387	192
878	1389	191
879	1390	189
880	1391	187
881	1393	186
882	1394	184
883	1396	183
884	1397	181
885	1398	179
886	1399	178
887	1400	176
888	1402	175
889	1403	173
890	1404	171
891	1405	170
892	1407	168
893	1409	167
894	1412	165
895	1413	164
896	1414	162
897	1415	160
898	1416	159
899	1417	157
900	1419	155
901	1420	154
902	1422	152
903	1423	151
904	1425	149
905	1426	147
906	1427	146
907	1428	144
908	1429	143
909	1430	141
910	1431	139
911	1433	138
912	1434	136
913	1435	135
914	1437	133
915	1438	131
916	1439	130
917	1440	128
918	1441	127
919	1442	125
920	1443	123
921	1444	122
922	1446	120
923	1447	119
924	1449	117
925	1453	116
926	1454	114
927	1456	112
928	1457	111
929	1458	109
930	1460	108
931	1461	106
932	1462	105
933	1463	103
934	1467	102
935	1469	100
936	1470	98
937	1472	97
938	1473	95
939	1475	94
940	1477	92
941	1478	91
942	1479	89
943	1482	87
944	1484	86
945	1486	84
946	1487	83
947	1488	81
948	1489	80
949	1490	78
950	1492	76
951	1493	75
952	1496	73
953	1498	72
954	1499	70
955	1501	69
956	1502	67
957	1503	65
958	1504	64
959	1506	62
960	1507	61
961	1508	59
962	1511	58
963	1512	56
964	1514	54
965	1515	53
966	1516	51
967	1517	50
968	1518	48
969	1520	47
970	1521	45
971	1522	43
972	1523	42
973	1524	40
974	1526	39
975	1527	37
976	1528	35
977	1529	34
978	1530	32
979	1531	31
980	1532	29
981	1533	28
982	1535	26
983	1536	24
984	1537	23
985	1539	21
986	1541	20
987	1543	18
988	1544	17
989	1545	15
990	1546	14
991	1547	12
992	1548	10
993	1549	9
994	1550	7
995	1552	6
996	1553	4
997	1555	3
998	1556	1
999	1558	0
